ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,Class
0,32.5,0,6.31,0,10.83,0,0,0,0,0,1811.67,0.0,33.33,0,B
1,41.67,1,6.78,0,10.83,1,1,1,0,0,0.0,0.0,10.83,0,B
2,31.67,2,17.55,1,7.5,2,2,0,0,0,0.0,0.0,33.33,0,B
3,44.17,2,19.11,2,5.83,1,2,1,1,0,0.0,0.0,33.33,0,B
4,23.33,2,27.55,0,10.83,1,3,2,1,1,0.0,0.0,33.33,1,B
5,30.83,2,23.16,3,11.67,1,1,2,0,1,0.0,0.0,33.33,0,B
6,40.83,2,13.04,4,4.17,3,4,0,1,1,0.0,0.0,13.33,2,B
7,43.33,1,17.06,1,7.5,1,1,1,0,0,0.0,0.0,37.5,0,A
8,25.83,2,3.73,3,11.67,0,3,0,0,1,11736.67,0.0,41.67,0,A
9,35.0,2,12.98,0,10.83,1,1,1,0,0,4315.0,0.0,33.33,0,A
10,30.83,2,22.83,5,8.33,1,1,1,1,0,0.0,0.0,66.67,0,A
11,25.0,0,11.5,0,10.83,1,3,1,2,0,0.0,0.0,33.33,3,A
12,19.17,2,9.95,0,10.83,0,0,3,0,1,0.0,0.0,25.0,0,B
13,26.67,2,16.69,6,10.0,0,5,0,1,0,0.0,0.0,41.67,0,B
14,33.33,2,9.91,7,9.17,1,6,1,2,0,0.0,0.0,33.33,-1,A
15,28.33,2,19.98,8,3.33,1,7,1,3,0,0.0,0.0,37.5,4,B
16,20.83,1,14.39,1,7.5,0,8,3,0,0,0.0,0.0,29.17,0,B
17,26.67,2,15.21,1,7.5,0,9,4,0,0,0.0,0.0,33.33,0,B
18,31.67,2,2.35,2,5.83,1,5,1,0,0,0.0,0.0,41.67,0,B
19,35.83,1,23.78,3,11.67,2,1,4,0,1,0.0,0.0,37.5,0,A
20,33.33,2,15.75,9,13.33,1,3,1,0,0,0.0,0.0,50.0,0,A
21,45.0,2,24.59,1,7.5,4,4,4,1,1,0.0,0.0,16.67,0,B
22,29.17,3,6.26,4,4.17,1,8,1,1,0,0.0,0.0,33.33,0,B
23,35.83,2,9.53,2,5.83,1,7,1,0,0,0.0,1701.67,33.33,0,B
24,49.17,2,8.87,1,7.5,2,10,4,0,1,0.0,0.0,33.33,0,B
25,46.67,4,17.65,0,10.83,1,10,1,0,0,0.0,0.0,33.33,0,A
26,15.83,2,13.7,1,7.5,0,6,3,0,0,0.0,0.0,33.33,0,B
27,45.0,-1,14.67,5,8.33,1,-1,1,2,0,0.0,0.0,50.0,5,A
28,32.5,2,29.89,1,7.5,2,1,0,0,0,0.0,0.0,66.67,0,B
29,40.83,2,15.74,1,7.5,1,6,1,0,0,0.0,0.0,33.33,0,B
30,19.17,4,15.52,6,10.0,0,11,0,0,0,0.0,0.0,43.33,0,B
31,16.67,2,21.65,5,8.33,0,5,3,1,0,0.0,0.0,36.67,0,B
32,37.5,2,31.5,0,10.83,2,1,3,0,0,0.0,1173.33,33.33,0,B
33,25.0,3,4.88,5,8.33,1,0,3,0,0,0.0,0.0,33.33,0,B
34,18.33,0,25.36,5,8.33,1,4,1,1,0,0.0,0.0,12.5,0,B
35,40.0,2,19.73,2,5.83,0,9,4,0,0,0.0,0.0,33.33,6,B
36,17.5,2,16.05,5,8.33,0,9,3,0,0,0.0,0.0,33.33,0,B
37,15.83,2,44.29,1,7.5,5,0,2,0,1,0.0,0.0,20.83,0,B
38,25.83,2,6.85,5,8.33,1,5,1,0,0,0.0,0.0,31.67,-1,A
39,40.0,1,21.61,6,10.0,1,3,1,0,0,0.0,0.0,33.33,0,B
40,25.83,2,41.34,4,4.17,1,9,1,0,0,0.0,0.0,35.83,0,B
41,44.17,1,7.2,0,10.83,1,3,1,0,0,0.0,0.0,33.33,0,B
42,20.0,2,14.08,0,10.83,1,10,1,0,0,0.0,0.0,41.67,0,B
43,40.83,2,7.7,1,7.5,4,0,4,0,1,0.0,0.0,33.33,0,B
44,20.83,2,23.6,1,7.5,0,2,0,0,0,0.0,0.0,29.17,0,B
45,47.5,3,27.5,0,10.83,1,3,1,1,0,0.0,0.0,33.33,0,A
46,44.17,2,11.75,1,7.5,1,9,1,0,0,0.0,0.0,31.67,0,B
47,36.67,2,10.45,3,11.67,2,1,4,0,1,0.0,0.0,33.33,0,B
48,34.17,0,8.27,7,9.17,1,6,1,0,0,0.0,0.0,33.33,0,B
49,24.17,2,22.1,7,9.17,0,3,0,0,0,0.0,0.0,35.83,0,B
50,20.83,2,2.63,5,8.33,1,1,2,4,1,0.0,0.0,33.33,0,B
51,15.0,2,18.47,1,7.5,0,4,3,0,1,0.0,0.0,25.0,-1,B
52,39.17,2,4.22,10,12.5,1,3,2,0,1,0.0,1585.0,50.0,7,A
53,41.67,3,20.48,0,10.83,2,1,0,0,0,0.0,0.0,45.83,0,A
54,39.17,5,8.94,1,7.5,2,1,0,0,0,0.0,0.0,50.0,0,B
55,35.83,2,19.37,5,8.33,1,10,1,0,0,0.0,0.0,33.33,0,A
56,38.33,2,17.64,11,2.5,1,9,1,0,0,0.0,0.0,33.33,4,B
57,29.17,2,4.59,7,9.17,1,4,1,0,0,0.0,0.0,33.33,6,B
58,34.17,2,12.0,1,7.5,1,0,1,0,0,0.0,0.0,40.0,0,B
59,25.0,2,15.32,1,7.5,1,9,1,0,0,4177.5,0.0,33.33,0,B
60,25.0,2,4.84,0,10.83,1,5,1,0,0,2005.83,0.0,33.33,0,B
61,26.67,-1,23.93,8,3.33,3,-1,0,0,0,0.0,0.0,33.33,-1,B
62,40.0,2,12.18,1,7.5,1,7,1,0,0,0.0,0.0,33.33,0,B
63,35.0,2,9.49,9,13.33,1,3,1,0,0,0.0,0.0,37.5,0,A
64,24.17,2,8.6,5,8.33,2,10,0,0,0,0.0,0.0,48.33,0,B
65,30.0,2,12.66,1,7.5,1,6,1,0,0,0.0,0.0,33.33,0,B
66,23.33,2,14.91,5,8.33,2,0,0,0,1,0.0,0.0,33.33,0,B
67,44.17,2,13.83,1,7.5,1,0,2,0,1,0.0,0.0,33.33,0,A
68,40.83,5,15.6,5,8.33,1,1,1,0,0,0.0,0.0,41.67,0,A
69,20.83,-1,16.34,5,8.33,0,-1,3,0,0,0.0,0.0,33.33,0,B
70,15.83,2,8.26,5,8.33,0,3,3,0,0,0.0,0.0,26.67,0,B
71,25.83,2,25.23,0,10.83,4,5,3,1,1,0.0,0.0,33.33,0,B
72,24.17,1,13.21,0,10.83,1,5,1,0,0,0.0,0.0,58.33,0,A
73,19.17,2,17.23,5,8.33,0,9,0,0,0,0.0,0.0,33.33,0,B
74,65.83,2,10.15,5,8.33,1,3,5,0,0,0.0,0.0,16.67,0,B
75,22.5,2,17.41,1,7.5,0,4,3,0,0,0.0,0.0,33.33,4,B
76,33.33,2,2.62,6,10.0,1,0,1,0,0,0.0,0.0,33.33,0,B
77,55.83,-1,17.32,12,5.0,1,-1,1,0,0,0.0,0.0,1.67,0,B
78,15.0,2,25.2,2,5.83,0,4,3,0,1,0.0,0.0,18.33,0,B
79,25.83,4,10.25,8,3.33,1,8,1,0,0,0.0,0.0,33.33,0,B
80,15.0,2,36.37,1,7.5,0,5,0,0,0,0.0,0.0,25.0,0,B
81,43.33,2,22.51,0,10.83,1,4,1,0,0,0.0,0.0,33.33,1,B
82,38.33,2,4.2,1,7.5,1,4,2,0,1,0.0,0.0,33.33,0,B
83,49.17,2,13.02,1,7.5,1,5,1,0,0,0.0,0.0,40.0,0,B
84,36.67,2,27.97,1,7.5,2,6,0,0,1,11953.33,0.0,33.33,0,A
85,44.17,2,28.19,1,7.5,2,5,3,0,1,0.0,0.0,29.17,0,B
86,40.83,4,21.83,1,7.5,1,11,1,0,0,0.0,0.0,33.33,0,A
87,27.5,2,16.45,3,11.67,1,3,1,0,0,0.0,0.0,41.67,0,B
88,25.0,2,4.42,4,4.17,0,5,0,0,0,0.0,0.0,33.33,0,B
89,35.83,3,33.44,9,13.33,0,3,0,0,1,0.0,0.0,41.67,0,A
